"","x","y","SM_m3_m3"
"1",-95.9867,28.6704632932119,0.27095621935178
"2",-95.9867,28.7410632932119,0.293957096111954
"3",-95.9867,28.8116632932119,0.346411478501277
"4",-95.9867,28.8822632932119,0.264816148264605
"5",-95.9867,28.9528632932119,0.250757712384249
"6",-95.9867,29.0234632932119,0.29998054288315
"7",-95.9867,29.0940632932119,0.336624050797373
"8",-95.9867,29.1646632932119,0.34153775510196
"9",-95.9867,29.2352632932119,0.34561244760916
"10",-95.9867,29.3058632932119,0.352799457980482
"11",-95.9867,29.3764632932119,0.342664940261856
"12",-95.9867,29.4470632932119,0.328615322179999
"13",-95.9867,29.5176632932119,0.31721849046914
"14",-95.9867,29.5882632932119,0.31591934131589
"15",-95.9867,29.6588632932119,0.326035296215687
"16",-95.9867,29.7294632932119,0.31903329620923
"17",-95.9867,29.8000632932119,0.281885420018929
"18",-95.9867,29.8706632932119,0.263130737893034
"19",-95.9867,29.9412632932119,0.201406936460003
"20",-95.9867,30.0118632932119,0.203261332871043
"21",-95.9867,30.0824632932119,0.148890978883118
"22",-95.9867,30.1530632932119,0.147220383973331
"23",-95.9867,30.2236632932119,0.233594623907764
"24",-95.9867,30.2942632932119,0.313792765430234
"25",-95.9867,30.3648632932119,0.289524931999054
"26",-95.9867,30.4354632932119,0.332217126299707
"27",-95.9867,30.5060632932119,0.350180962810113
"28",-95.9867,30.5766632932119,0.268515223176436
"29",-95.9867,30.6472632932119,0.24157302955097
"30",-95.9867,30.7178632932119,0.236654836519427
"31",-95.9867,30.7884632932119,0.237921751077955
"32",-95.9867,30.8590632932119,0.257350062277225
"33",-95.9867,30.9296632932119,0.267009163509364
"34",-95.9867,31.0002632932119,0.21971325862627
"35",-95.9867,31.0708632932119,0.290964393622763
"36",-95.9867,31.1414632932119,0.161667569057451
"37",-95.9867,31.2120632932119,0.155897151953633
"38",-95.9867,31.2826632932119,0.189903552155116
"39",-95.8933,28.6704632932119,0.231922991673694
"40",-95.8933,28.7410632932119,0.222362345674567
"41",-95.8933,28.8116632932119,0.34731919496137
"42",-95.8933,28.8822632932119,0.292628540727001
"43",-95.8933,28.9528632932119,0.343511189246447
"44",-95.8933,29.0234632932119,0.36867028971531
"45",-95.8933,29.0940632932119,0.369366703719004
"46",-95.8933,29.1646632932119,0.365900276770661
"47",-95.8933,29.2352632932119,0.355022665886904
"48",-95.8933,29.3058632932119,0.340825394856516
"49",-95.8933,29.3764632932119,0.324926379592351
"50",-95.8933,29.4470632932119,0.318896357565077
"51",-95.8933,29.5176632932119,0.315887570026178
"52",-95.8933,29.5882632932119,0.299578568948845
"53",-95.8933,29.6588632932119,0.284511099083651
"54",-95.8933,29.7294632932119,0.250190565639775
"55",-95.8933,29.8000632932119,0.193735488937096
"56",-95.8933,29.8706632932119,0.200383061995471
"57",-95.8933,29.9412632932119,0.201705531805976
"58",-95.8933,30.0118632932119,0.203575435696301
"59",-95.8933,30.0824632932119,0.200365623335614
"60",-95.8933,30.1530632932119,0.177427703426274
"61",-95.8933,30.2236632932119,0.165226831272793
"62",-95.8933,30.2942632932119,0.239597596787507
"63",-95.8933,30.3648632932119,0.374920884715599
"64",-95.8933,30.4354632932119,0.18833051959106
"65",-95.8933,30.5060632932119,0.387768501839264
"66",-95.8933,30.5766632932119,0.302953384665252
"67",-95.8933,30.6472632932119,0.248192253078686
"68",-95.8933,30.7178632932119,0.247743731701051
"69",-95.8933,30.7884632932119,0.257654467751254
"70",-95.8933,30.8590632932119,0.259259924789713
